parentID,childID,comment
15,18,Changed parent so as to not skip nodes (fixed in annex6_obsToAdd.csv)
15,20,Changed parent so as to not skip nodes (fixed in annex6_obsToAdd.csv)
15,22,Changed parent so as to not skip nodes (fixed in annex6_obsToAdd.csv)
15,23,Changed parent so as to not skip nodes (fixed in annex6_obsToAdd.csv)
15,110,Changed parent so as to not skip nodes (fixed in annex6_obsToAdd.csv)
27,29,Changed parent so as to not skip nodes (fixed in annex6_obsToAdd.csv)
27,32,Changed parent so as to not skip nodes (fixed in annex6_obsToAdd.csv)
27,34,Changed parent so as to not skip nodes (fixed in annex6_obsToAdd.csv)
27,38,Changed parent so as to not skip nodes (fixed in annex6_obsToAdd.csv)
44,46,Changed parent so as to not skip nodes (fixed in annex6_obsToAdd.csv)
44,48,Changed parent so as to not skip nodes (fixed in annex6_obsToAdd.csv)
44,50,Changed parent so as to not skip nodes (fixed in annex6_obsToAdd.csv)
56,64,Changed parent so as to not skip nodes (fixed in annex6_obsToAdd.csv)
162,168,Changed parent so as to not skip nodes (fixed in annex6_obsToAdd.csv)
162,171,Changed parent so as to not skip nodes (fixed in annex6_obsToAdd.csv)
242,246,Changed parent so as to not skip nodes (fixed in annex6_obsToAdd.csv)
242,247,Changed parent so as to not skip nodes (fixed in annex6_obsToAdd.csv)
661,665,Changed parent so as to not skip nodes (fixed in annex6_obsToAdd.csv)
661,666,Changed parent so as to not skip nodes (fixed in annex6_obsToAdd.csv)
882,895,Changed parent so as to not skip nodes (fixed in annex6_obsToAdd.csv)
882,896,Changed parent so as to not skip nodes (fixed in annex6_obsToAdd.csv)
882,899,Changed parent so as to not skip nodes (fixed in annex6_obsToAdd.csv)
882,917,Changed parent so as to not skip nodes (fixed in annex6_obsToAdd.csv)
919,921,Changed parent so as to not skip nodes (fixed in annex6_obsToAdd.csv)
919,929,Changed parent so as to not skip nodes (fixed in annex6_obsToAdd.csv)
957,959,Changed parent so as to not skip nodes (fixed in annex6_obsToAdd.csv)
995,997,Changed parent so as to not skip nodes (fixed in annex6_obsToAdd.csv)
1025,1027,Changed parent so as to not skip nodes (fixed in annex6_obsToAdd.csv)
1037,1221,1221 isn't even a descendant of 1037
1044,1046,Changed parent so as to not skip nodes (fixed in annex6_obsToAdd.csv)
1102,1104,Changed parent so as to not skip nodes (fixed in annex6_obsToAdd.csv)
1133,1135,Changed parent so as to not skip nodes (fixed in annex6_obsToAdd.csv)
